Athens,1896,Cycling,Cycling Track, Stamatios NIKOLOPOULOS,GRE,Men,1km time trial,M,Silver
Athens,1896,Cycling,Cycling Track, Léon FLAMENG,FRA,Men,Sprint indivual,M,Bronze
Athens,1896,Cycling,Cycling Track, Paul MASSON,FRA,Men,Sprint indivual,M,Gold
Athens,1896,Cycling,Cycling Track, Stamatios NIKOLOPOULOS,GRE,Men,Sprint indivual,M,Silver
Athens,1896,Fencing,Fencing, Perikles PIERRAKOS-MAVROMICHALIS,GRE,Men,foil individual,M,Bronze
Athens,1896,Fencing,Fencing, Eugène-Henri GRAVELOTTE,FRA,Men,foil individual,M,Gold
Athens,1896,Fencing,Fencing, Henri CALLOT,FRA,Men,foil individual,M,Silver
Athens,1896,Fencing,Fencing, Leonidas PYRGOS,GRE,Men,"foil, masters",M,Gold
Athens,1896,Fencing,Fencing, Maurice PERRONNET,FRA,Men,"foil, masters",M,Silver
Athens,1896,Fencing,Fencing, Holger NIELSEN,DEN,Men,sabre individual,M,Bronze
Athens,1896,Fencing,Fencing, Ioannis GEORGIADIS,GRE,Men,sabre individual,M,Gold
Athens,1896,Fencing,Fencing, Telemachos KARAKALOS,GRE,Men,sabre individual,M,Silver
Athens,1896,Gymnastics,Artistic G., Hermann WEINGÄRTNER,GER,Men,horizontal bar,M,Gold
Athens,1896,Gymnastics,Artistic G., Alfred FLATOW,GER,Men,horizontal bar,M,Silver
Athens,1896,Gymnastics,Artistic G., Alfred FLATOW,GER,Men,parallel bars,M,Gold
Athens,1896,Gymnastics,Artistic G., Louis ZUTTER,SUI,Men,parallel bars,M,Silver
Athens,1896,Gymnastics,Artistic G., Louis ZUTTER,SUI,Men,pommel horse,M,Gold
Athens,1896,Gymnastics,Artistic G., Hermann WEINGÄRTNER,GER,Men,pommel horse,M,Silver
Athens,1896,Gymnastics,Artistic G., Petros PERSAKIS,GRE,Men,rings,M,Bronze
Athens,1896,Gymnastics,Artistic G., Ioannis MITROPOULOS,GRE,Men,rings,M,Gold
Athens,1896,Gymnastics,Artistic G., Hermann WEINGÄRTNER,GER,Men,rings,M,Silver
Athens,1896,Gymnastics,Artistic G., Fritz HOFMANN,GER,Men,rope climbing,M,Bronze
Athens,1896,Gymnastics,Artistic G., Nicolaos ANDRIAKOPOULOS,GRE,Men,rope climbing,M,Gold
Athens,1896,Gymnastics,Artistic G., Thomasios XENAKIS,GRE,Men,rope climbing,M,Silver
Athens,1896,Gymnastics,Artistic G., Konrad BÖCKER,GER,Men,"team, horizontal bar",M,Gold
Athens,1896,Gymnastics,Artistic G., Alfred FLATOW,GER,Men,"team, horizontal bar",M,Gold
Athens,1896,Gymnastics,Artistic G., Gustav Felix FLATOW,GER,Men,"team, horizontal bar",M,Gold
Athens,1896,Gymnastics,Artistic G., Georg HILMAR,GER,Men,"team, horizontal bar",M,Gold
Athens,1896,Gymnastics,Artistic G., Fritz HOFMANN,GER,Men,"team, horizontal bar",M,Gold
Athens,1896,Gymnastics,Artistic G., Fritz MANTEUFFEL,GER,Men,"team, horizontal bar",M,Gold
Athens,1896,Gymnastics,Artistic G., Karl NEUKIRCH,GER,Men,"team, horizontal bar",M,Gold
Athens,1896,Gymnastics,Artistic G., Richard RÖSTEL,GER,Men,"team, horizontal bar",M,Gold
Athens,1896,Gymnastics,Artistic G., Gustav SCHUFT,GER,Men,"team, horizontal bar",M,Gold
Athens,1896,Gymnastics,Artistic G., Carl SCHUMANN,GER,Men,"team, horizontal bar",M,Gold
Athens,1896,Gymnastics,Artistic G., Hermann WEINGÄRTNER,GER,Men,"team, horizontal bar",M,Gold
Athens,1896,Gymnastics,Artistic G., Ioannis CHRYSAPHIS,GRE,Men,"team, parallel bars",M,Bronze
Athens,1896,Gymnastics,Artistic G., Phillippos KARVELAS,GRE,Men,"team, parallel bars",M,Bronze
Athens,1896,Gymnastics,Artistic G., Dimitrios LOUNDRAS,GRE,Men,"team, parallel bars",M,Bronze
Athens,1896,Gymnastics,Artistic G., Ioannis MITROPOULOS,GRE,Men,"team, parallel bars",M,Bronze
Athens,1896,Gymnastics,Artistic G., Konrad BÖCKER,GER,Men,"team, parallel bars",M,Gold
Athens,1896,Gymnastics,Artistic G., Alfred FLATOW,GER,Men,"team, parallel bars",M,Gold
Athens,1896,Gymnastics,Artistic G., Gustav Felix FLATOW,GER,Men,"team, parallel bars",M,Gold
Athens,1896,Gymnastics,Artistic G., Georg HILMAR,GER,Men,"team, parallel bars",M,Gold
Athens,1896,Gymnastics,Artistic G., Fritz HOFMANN,GER,Men,"team, parallel bars",M,Gold
Athens,1896,Gymnastics,Artistic G., Fritz MANTEUFFEL,GER,Men,"team, parallel bars",M,Gold
Athens,1896,Gymnastics,Artistic G., Karl NEUKIRCH,GER,Men,"team, parallel bars",M,Gold
Athens,1896,Gymnastics,Artistic G., Richard RÖSTEL,GER,Men,"team, parallel bars",M,Gold
Athens,1896,Gymnastics,Artistic G., Gustav SCHUFT,GER,Men,"team, parallel bars",M,Gold
Athens,1896,Gymnastics,Artistic G., Carl SCHUMANN,GER,Men,"team, parallel bars",M,Gold
Athens,1896,Gymnastics,Artistic G., Hermann WEINGÄRTNER,GER,Men,"team, parallel bars",M,Gold
Athens,1896,Gymnastics,Artistic G., Nicolaos ANDRIAKOPOULOS,GRE,Men,"team, parallel bars",M,Silver
